alg,notes
B L F' L F L2 B',Wide-Sune c
F R2 B' R' B R' F',Anti-Wide-Sune c
F U F' U F U2 F',Sune c
F U' B' U F' U' B,Niklas c
B U2 B' U' B U' B',Anti-Sune c
L' B' R B' R' B2 L,Wide-Sune c
R' F2 L F L' F R,Anti-Wide-Sune c
R' U L U' R U L',Niklas c
R' U' R U' R' U2 R,Sune c
L' U2 L U L' U L,Anti-Sune c
