htm,alg,notes
11,B F' D U' L2 U2 L D' U' B' F,
11,B F' D U' L2 U2 L' D' U B' F,
11,B F' D U' L2 U2 L2 D' U B' F,
11,B F' D' B' F R B F' D B' F,
11,B F' D' B' F R' B F' D B' F,
11,B F' D' L R' U2 L' R D B F,
11,B F' D' L2 B' F D' U' B F' D,
11,B F' D' L2 B' F U' D' B F' D,
11,B F' D' U B' U2 B D U' B' F,
11,B F' D' U L U2 L' D U B' F,
11,B F' D' U R2 U' R2 D U' B' F,
11,B F' D' U R2 U2 R2 D U' B' F,
11,B F' D' U' B' U B D U' B' F,
11,B F' D' U' B' U2 B D U B' F,
11,B F' D' U' B' U2 B D U' B' F,
11,B F' D' U' L U' L' D U B' F,
11,B F' D' U' R2 U2 R2 D U' B' F,
11,B F' D2 L R' F' L' R D2 B' F,
11,B F' D2 L' R F2 D2 L R' B F,
11,B F' L B' F' L2 B F L' B' F,
11,B F' L D U L2 D' U' L B' F,
11,B F' L D U' L2 D' U' L B' F,
11,B F' L R B L' R' B' F' L' F2,
11,B F' L R B L2 B' L' R' B' F,
11,B F' L R B2 L B2 L' R' B' F,
11,B F' L R B2 L R B' F D2 R2,
11,B F' L R B2 L R' U2 L2 B' F,
11,B F' L R B2 L' B2 L' R' B' F,
11,B F' L R U' L2 U L R' B' F,
11,B F' L R U2 L' R B2 R2 B' F,
11,B F' L R U2 L' R' B' F' U2 F2,
11,B F' L R' D F' D' L' R B' F,
11,B F' L R' U2 F2 D2 L' R B F',
11,B F' L R' U2 L R B L2 B F,
11,B F' L R' U2 L R B' L2 B F,
11,B F' L R' U2 L R B2 L2 B F,
11,B F' L R' U2 L' R B2 U' B' F,
11,B F' L U' D L2 U' D' L B' F,
11,B F' L' B F' L B' F L B' F,
11,B F' L' B F' L2 B' F L B' F,
11,B F' L' B' F' L2 B F L B' F,
11,B F' L' D U L2 D' U L' B' F,
11,B F' L' D U L2 D' U' L' B' F,
11,B F' L' D U' L2 D' U' L' B' F,
11,B F' L' R B L R' B2 U' B F,
11,B F' L' R B' L R' B2 U2 B F,
11,B F' L' R B' L' R' B' F' L2 F2,
11,B F' L' R B2 L R' B2 U2 B F,
