alg,notes
L F2 U' B' U F2 U' B U L',c
B R B' R' F R B R' B' F',c
R F R' U R F' R' F U' F',RFU c
R F R' U2 R F' R' F U2 F',RFU c
L B L2 B' L D F2 U' F2 D',c
L B L2 B' R B L2 B' L' R',c
R F U F' L R' D F' D' L',c
F L U2 B2 D2 R F2 D2 B2 F',c
L B' D2 B U' B' D2 B U L',c
L B' D2 B U2 B' D2 B U2 L',c
R F' U F L R' D' F' D L',c
B R' U' F' U R B' R' F R,c
L B' U2 F U' F' U2 B U L',c
L B' U2 F U2 F' U2 B U2 L',c
L B' U2 B L2 F' L2 F U2 L',c
B U B U' F' U B' U' B' F,c
F U B' F' U2 F U F' U2 B,c
F U F' R F R' U' R F' R',RFU c
L U L' B2 F D' R' D B2 F',c
B U B' L' B L U' L' B' L,RFU c
L U L' F' L U' L2 U L F,RFU c
F U F' L R' D F' D' L' R,c
F U F' R' U F U2 F' U' R,RFU c
F U F' L D R' F' R D' L',c
L U L' B' R' F' U' F R B,c
L U L' B' U R' U2 R U B,c
L U L' B' U B U L U2 L',RFU c
F U F' L' U' B' U2 B U L,c
F U F' L' U' L U F U2 F',RFU c
B U B' R' U2 F' U2 F U R,c
B U B' R' U2 R U B U2 B',RFU c
B U B' R2 D' L F' L' D R2,c
L U L' U L U' F U' F' L',RFU c
F U F' U B L2 F' L2 B' F,c
F U F' U L F' L' F2 U2 F',RFU c
B U B' U' B U' L' B L B2,RFU c
L U L' U' L' R B L B' R',c
F U F' U' B F' L2 F L2 B',c
B U B' U' F' U B U' B' F,c
L U L' U' F' L' B L B' F,c
B U B' U2 B L U' L' U B',RFU c
L U L' U2 B' U' B L U2 L',RFU c
F U F2 L F L' U' L' U2 L,RFU c
F U F2 L F L2 B' U B L,c
F U F2 L' U' L U F2 U2 F',RFU c
L U R F R' U' R F' L' R',c
L U R' D R U' R' D' L' R,c
L U R' U F U' F' U' L' R,c
F U B' U R U2 R' F' U' B,c
F U L' R U R' U' L U' F',c
L U F U R U R' F' U2 L',c
L U F U' L' B L F' L' B',c
B U L U' F L' B' L F' L',c
L U F U' R U' R' U F' L',c
B U L U' F' L' B' L F L',c
L U F U' F R' F' R F' L',c
B U L U' L' U L U' L' B',RFU c
F U R U2 R' F' U' L' U2 L,c
L U F U2 F' U L' B' U B,c
L U F U2 F' U F U F' L',RFU c
L U F U2 F' U' L' B' U B,c
L U F U2 F' U' F U F' L',RFU c
L U F U2 F' U2 L' B' U B,c
F U R U2 R' U2 R U R' F',RFU c
L U F' L F L' F U' F' L',RFU c
L U F' L F L2 U L U2 L',RFU c
F U R' D' R U' R' D R F',c
L U F' U' F L' U' F' U2 F,RFU c
F U R' U2 R2 U R2 U R F',RFU c
B U L2 D L' U' L D' L2 B',c
B U R' U L U' L' R U' B',c
L U B' U F U' B U' F' L',c
B U' B' L' R D B D' L R',c
F U' F' U R' U' F U F' R,RFU c
R U' R' U2 L R U' R' U L',c
B U' B' U2 B U L U2 L' B',RFU c
L U' L2 U R U' L2 U L' R',c
R U' L D2 L' U L D2 L' R',c
R U' L U L' R' U2 L U L',c
B U' F U B' U R U2 R' F',c
B U' F U F2 D' L2 D B' F,c
R U' L U2 R' U R U2 L' R',c
F U' B' D B U B' D' B F',c
B U' F' L' U2 L U B' U F,c
