alg,notes
F R' F' R,RF Sledgehammer
R' F R F',RF Sledgehammer
U R U' R',Anti-Sexy
U' F' U F,Anti-Sexy
U2 F' U2 F,Sune-End
U2 R U2 R',Sune-End
