alg,notes
U' B U' B' U' R U2 R',
U' B U' B' U2 F' U F,
U' B U' B' U2 R U' R',
U' B U' B2 R B U' R',
U' B U' F' U' B' U' F,
U' B U' F' U2 F U B',
U' B U' F' U2 F U' B',
U' B U' F' U2 F U2 B',
U' B U' R U' R' U B',
U' B U' R U' R' U' B',
U' B U2 B' F R' F' R,
U' B U2 B' F R2 F' R2,
U' B U2 B' R' F R F',
U' B U2 B' U F' U2 F,
U' B U2 B' U R U' R',
U' B U2 B' U' F' U F,
U' B U2 B' U2 F' U F,
U' B U2 B' U2 F' U2 F,
U' B U2 B' U2 R U2 R',
U' B U2 B2 R B U2 R',
U' B U2 F R' F' R B',
U' B U2 F' U B' U F,
U' B U2 F' U' F U B',
U' B U2 F' U' F U' B',
U' B U2 F' U2 B' U F,
U' B U2 R U R' U' B',
U' B U2 R U R' U2 B',
U' B U2 R' F R B' F',
U' B' D' R D R2 B R2,
U' B' D' R2 D R2 B R2,
U' B' R B2 U' B' U R',
U' B' R B2 U2 B' U R',
U' B' R D' R D B R2,
U' B' R2 D B' D' B2 R2,
U' B' R2 U' R U B R2,
U' B2 D2 L2 F2 L2 D2 B2,
U' B2 L F2 L F2 L2 B2,
U' B2 R B' U2 B R' B2,
U' B2 U' F' U B2 U F,
U' B2 U2 F' U' F U2 B2,
U' B2 U2 R2 B2 R2 U2 B2,
U' D B L U2 L' B' D',
U' D B' D' R' D B D',
U' D F' R' U' R F D',
U' D L' B2 L U D' R2,
U' D R' B' R2 B R D',
U' D R' F' U2 F R D',
U' D R2 U' R2 U R2 D',
U' D' F D R2 D' F' D,
U' D' F' L' U L F D,
U' D' R B U B' R' D,
U' D' R2 U R U' R2 D,
U' F D R D' F2 U' F,
U' F D R D' R' F' R,
U' F D R D' R2 F' R2,
U' F L2 D R2 D' L2 F',
U' F R D R D' R2 F',
U' F R D R2 D' F' R,
U' F R F' R F R' F',
U' F R' F' U R2 U2 R',
U' F R' F' U' R2 U2 R',
U' F R' F' U2 R2 U R',
U' F R' F' U2 R2 U' R',
U' F R2 F' R2 F' U F,
U' F R2 F' U R U' R2,
U' F R2 U R U' F' R2,
U' F U D R' U' D' F',
U' F' D2 B U2 B' D2 F,
U' F' D2 L' U L D2 F,
U' F' L' B U B' L F,
U' F' L' B U2 B' L F,
U' F' R B' R' B U F,
U' F' R' F R' F' R2 F,
U' F' R' F' U' F R F,
U' F' R2 D' F' D R2 F,
U' F' R2 F R F' R F,
U' F' R2 F2 R F2 R F,
U' F' U B U B' U' F,
U' F' U B U' B' U F,
U' F' U B U2 B' U F,
U' F' U B' F R B R',
U' F' U F R B' R' B,
U' F' U F U B U B',
U' F' U F U B U' B',
U' F' U F U B U2 B',
U' F' U F U R' U R,
U' F' U F U R' U' R,
U' F' U F U R' U2 R,
U' F' U F U' B U B',
U' F' U F U' B U' B',
U' F' U F U' B U2 B',
U' F' U F U' R' U R,
U' F' U F U' R' U' R,
U' F' U F U' R' U2 R,
U' F' U F U2 B U B',
U' F' U F U2 B U' B',
U' F' U F U2 B U2 B',
U' F' U F U2 R' U R,
U' F' U F U2 R' U' R,
U' F' U F U2 R' U2 R,
U' F' U' B U B' U2 F,
U' F' U' B U' B' U2 F,
U' F' U' B U2 B' U2 F,
U' F' U' B' R B R' F,
U' F' U' F R2 B' R2 B,
U' F' U' R B' R' B F,
U' F' U' R' U' R U' F,
U' F' U' R' U2 R U F,
U' F' U2 B U B' U F,
U' F' U2 B U' F U' B',
U' F' U2 B U' F U2 B',
U' F' U2 B' F R2 B R2,
U' F' U2 B2 U' F U B2,
U' F' U2 F2 D R D' F',
U' F' U2 F2 R' F' U R,
U' F' U2 F2 R' F' U' R,
U' F' U2 F2 R' F' U2 R,
U' F' U2 R' U R U2 F,
U' F' U2 R' U' R U F,
U' F2 D R D' R' F2 R,
U' F2 D2 F U F' D2 F2,
U' F2 D2 L' B L D2 F2,
U' F2 D2 L2 B2 L2 D2 F2,
U' F2 L2 D' B' D L2 F2,
U' F2 R2 U' F' U R2 F2,
U' F2 U2 B U B' U2 F2,
U' F2 U2 R2 F2 R2 U2 F2,
U' L F D R2 D' F' L',
U' L F2 D2 R D2 L' F2,
U' L R F R F' L' R',
U' L' B R2 B' R2 B' L,
U' L' B2 R B2 L U R',
U' L' F D2 B' D2 F' L,
U' L' R' U R2 U' L R',
U' R B U B' R2 U R,
U' R B U B' R2 U' R,
U' R B U B' R2 U2 R,
U' R B' D' R D B R2,
U' R B' R' B F' U F,
U' R B' R' D' R D B,
U' R B2 R' D' R D B2,
U' R D B U B' D' R',
U' R D B2 U B2 D' R',
U' R D' F2 U F2 D R',
U' R D2 L2 U2 L2 D2 R',
U' R F R B' F' R' B,
U' R F R F' R2 U R,
U' R F R F' R2 U' R,
U' R F R F' R2 U2 R,
U' R F U R U' F' R',
U' R U B U B2 R' B,
U' R U F R' F' U R',
U' R U F R2 F' U' R',
U' R U R U R U' R2,
U' R U R2 U R2 U' R',
U' R U R2 U2 R2 U2 R',
U' R U' B U B2 R' B,
U' R U' B U2 B2 R' B,
U' R U' F R' F' U R',
U' R U' F R2 F' U' R',
U' R U' R U R U' R2,
U' R U' R2 U R2 U R',
U' R U' R2 U R2 U' R',
U' R U' R2 U2 R2 U2 R',
U' R U2 B U B2 R' B,
U' R U2 F R' F' U R',
U' R U2 F R2 F' U' R',
U' R U2 R U R U' R2,
U' R U2 R2 U R2 U' R',
U' R U2 R2 U2 R2 U2 R',
U' R' B' R B R2 U2 R',
U' R' B' R' B F R F',
U' R' B' R' B R2 U R',
U' R' D B2 U' B2 D' R,
U' R' D' F' U' F D R,
U' R' D' F2 U2 F2 D R,
U' R' D2 L2 U' L2 D2 R,
U' R' D2 L2 U2 L2 D2 R,
U' R' F D R' D' F' R2,
U' R' F R D R' D' F',
U' R' F R' F' R' U R',
U' R' F' U F R2 U2 R',
U' R' F' U' F R2 U R',
U' R' F' U' F R2 U2 R',
U' R' U B' R2 B U R,
U' R' U B' R2 B U' R,
U' R' U B' R2 B U2 R,
U' R' U F R F2 U F,
U' R' U R U F' U2 F,
U' R' U R U R U2 R',
U' R' U R U' F' U' F,
U' R' U R U' F' U2 F,
U' R' U R U' R U R',
U' R' U R U2 F' U F,
U' R' U R' U' R2 U R2,
U' R' U R' U2 R2 U2 R2,
U' R' U R2 B U B' R',
U' R' U R2 B U' B' R',
U' R' U R2 F R' F' R',
U' R' U R2 U' B' R' B,
U' R' U R2 U' R2 U R,
U' R' U R2 U' R2 U' R,
U' R' U R2 U' R2 U2 R,
U' R' U' R U' R U' R',
U' R' U' R U2 F' U' F,
U' R' U' R' U2 R U2 R2,
U' R' U' R2 U2 B' R' B,
U' R' U' R2 U2 R2 U R,
U' R' U' R2 U2 R2 U' R,
U' R' U' R2 U2 R2 U2 R,
U' R' U2 F R F2 U F,
U' R' U2 F R F2 U2 F,
U' R' U2 F' U2 F2 R F',
U' R' U2 R U F' U F,
U' R' U2 R U R U2 R',
U' R' U2 R U' R U' R',
U' R' U2 R U2 F' U' F,
U' R' U2 R U2 R U R',
U' R' U2 R' B' R' B R',
U' R' U2 R' U R' U' R2,
U' R' U2 R' U' R U R2,
U' R' U2 R2 B U' B' R',
U' R' U2 R2 B' R B R2,
U' R' U2 R2 U' B' R' B,
U' R' U2 R2 U' R2 U R,
U' R' U2 R2 U' R2 U' R,
U' R' U2 R2 U' R2 U2 R,
U' R' U2 R2 U2 B' R' B,
U' R' U2 R2 U2 R2 U R,
U' R' U2 R2 U2 R2 U' R,
U' R' U2 R2 U2 R2 U2 R,
U' R2 B R U2 R' B' R2,
U' R2 B U B' R U' R2,
U' R2 B' F R' B R' F',
U' R2 B' R2 B F' U F,
U' R2 B' R2 B F' U2 F,
U' R2 B' R2 B R U2 R',
U' R2 B' U' R' U B R2,
U' R2 B2 D B D' R2 B,
U' R2 F R F' R2 U R',
U' R2 F R F' R2 U' R',
U' R2 F R U R U' F',
U' R2 F R' B' R' B F',
U' R2 F R' U R' U' F',
U' R2 F R2 B F' U B',
U' R2 F R2 B F' U' B',
U' R2 F R2 B F' U2 B',
U' R2 F R2 D R2 D' F',
U' R2 F R2 F' R U R',
U' R2 F R2 F' R' U R,
U' R2 F R2 F' R' U' R,
U' R2 F R2 F' R' U2 R,
U' R2 F U R U' F' R2,
U' R2 F U R U' R2 F',
U' R2 F U R' U' R2 F',
U' R2 F U R2 U' R2 F',
U' R2 U B' R B U' R2,
U' R2 U D' L F2 L' D,
U' R2 U F D' F D F2,
U' R2 U F' U F U' R2,
U' R2 U R U R U2 R2,
U' R2 U R U R' U2 R2,
U' R2 U R U R2 U2 R2,
U' R2 U R U' R U R,
U' R2 U R U' R U' R,
U' R2 U R U' R U2 R,
U' R2 U R U2 R U R2,
U' R2 U R U2 R' U R2,
U' R2 U R U2 R2 U R2,
U' R2 U R' B U' B' R2,
U' R2 U R' U' F R2 F',
U' R2 U R' U' R' U R',
U' R2 U R2 B U' B' R2,
U' R2 U R2 U' B' R2 B,
U' R2 U R2 U' R' U2 R',
U' R2 U' F U R2 U' F',
U' R2 U' R U R' U R',
U' R2 U' R U R' U' R',
U' R2 U' R' U R' U R',
U' R2 U' R' U2 R2 U' R2,
U' R2 U' R2 U2 R U' R2,
U' R2 U2 L F2 R' F2 L',
U' R2 U2 R B U2 B' R2,
U' R2 U2 R F' U2 F R2,
U' R2 U2 R U' R' U' R2,
U' R2 U2 R U2 B' R2 B,
U' R2 U2 R U2 R' U2 R',
U' R2 U2 R' U' R2 U' R2,
U' R2 U2 R' U2 R' U R',
U' R2 U2 R2 U2 R' U' R',
U2 B D2 R U2 R' D2 B',
U2 B F' L U2 L' B' F,
U2 B L F' U2 F L' B',
U2 B L R U2 L' R' B',
U2 B R2 B2 R' B2 R' B',
U2 B U B' R2 B' R2 B,
U2 B U B' U F' U F,
U2 B U B' U' R U' R',
U2 B U B' U2 F' U' F,
U2 B U B' U2 R U R',
U2 B U B2 D' R D B,
U2 B U B2 R B U R',
U2 B U F' U B' U2 F,
U2 B U F' U' B' U2 F,
U2 B U F' U2 B' U2 F,
U2 B U F2 U B' U' F2,
U2 B U R U R' U B',
U2 B U R U R' U' B',
U2 B U R U R' U2 B',
U2 B U' B' R2 B' R2 B,
U2 B U' B' U F' U F,
U2 B U' B' U' R U' R',
U2 B U' B' U2 F' U' F,
U2 B U' B' U2 R U R',
U2 B U' B2 D' R2 D B,
U2 B U' B2 R B U R',
U2 B U' F' U' B' U2 F,
U2 B U' F' U2 B' U2 F,
U2 B U2 B' R2 B' R2 B,
U2 B U2 B' U F' U F,
U2 B U2 B' U' F' U' F,
U2 B U2 B' U' R U R',
U2 B U2 B' U' R U' R',
U2 B U2 B' U2 F' U' F,
U2 B U2 B' U2 R U R',
U2 B U2 B2 D' R' D B,
U2 B U2 B2 D' R2 D B,
U2 B U2 B2 R B U R',
U2 B U2 F' U B' U2 F,
U2 B U2 F' U' B' U2 F,
U2 B U2 F' U2 B' U2 F,
U2 B U2 F2 U B' U' F2,
U2 B' D' R' D R2 B R2,
U2 B' D' R2 D B2 U B',
U2 B' D' R2 D B2 U2 B',
U2 B' D' R2 D R B R',
U2 B' L2 D' R2 D L2 B,
U2 B' R B F R2 F' R',
U2 B' R B R F R2 F',
U2 B' R B R' F' U' F,
U2 B' R B R2 F R F',
U2 B' R B U R2 U R,
U2 B' R B U R2 U' R,
U2 B' R B U R2 U2 R,
U2 B' R B2 U' B' U' R',
U2 B' R B2 U2 B2 R' B,
U2 B' R F R B F' R',
U2 B' R' B F' U2 F R',
U2 B' R' B R B' R B,
U2 B' R' B2 U2 B2 R B,
U2 B' R' D' R' D B R2,
U2 B' R' F R' B F' R2,
U2 B' R2 B R2 F' U F,
U2 B' R2 B U R U' R2,
U2 B' R2 B U R2 U' R2,
U2 B' R2 F R' B R' F',
U2 B' R2 U' R' U B R2,
U2 B' U' D' R2 U D B,
U2 B' U' R U B U2 R',
U2 B' U' R U R B R2,
U2 B2 D B D' B U R2,
U2 B2 D2 L F' L' D2 B2,
U2 B2 D2 L F2 L' D2 B2,
U2 B2 L2 D2 F' D2 L2 B2,
U2 B2 R2 U B U' R2 B2,
U2 B2 R2 U2 B U2 R2 B2,
U2 B2 U' F' U B2 U2 F,
U2 B2 U' F2 U B2 U' F2,
U2 B2 U' R U' R' U2 B2,
U2 B2 U2 R2 B R2 U2 B2,
U2 D B L U L' B' D',
U2 D B' D' R D B D',
U2 D F' R' U R F D',
U2 D L2 D2 R D2 L2 D',
U2 D R' B' R B R D',
U2 D R' F' U F R D',
U2 D R2 U2 R U2 R2 D',
U2 D' B R U2 R' B' D,
U2 D' F' L' U2 L F D,
U2 D' F2 L F L' F D,
U2 D' L2 D2 R D2 L2 D,
U2 D' R B U2 B' R' D,
U2 D' R2 B' R' B R' D,
U2 D' R2 U2 R U2 R2 D,
U2 D2 L2 D2 R D2 L2 D2,
U2 D2 R2 U2 R U2 R2 D2,
U2 F D R D' F2 U2 F,
U2 F D R' D' F2 U2 F,
U2 F D R2 D' F2 U2 F,
U2 F R B' R B F' R2,
U2 F R F2 U2 F2 R' F',
U2 F R' F' R' B' R2 B,
U2 F R' F' U R2 U R',
U2 F R' F' U' R2 U' R',
U2 F R' F2 U2 F2 R F',
U2 F R2 B' F' R' B R',
U2 F R2 B' R F' R B,
U2 F R2 F' R2 F' U2 F,
U2 F R2 F' U R' U' R2,
U2 F R2 U R' U' F' R2,
U2 F U D R2 U' D' F',
U2 F' D2 R' U2 R D2 F,
U2 F' L' R' U2 L R F,
U2 F' R' F' U2 F R F,
U2 F' U B U F U B',
U2 F' U B U F U' B',
U2 F' U B U F U2 B',
U2 F' U B U' B' U' F,
U2 F' U B U2 B' U' F,
U2 F' U B U2 F U B',
U2 F' U B U2 F U' B',
U2 F' U B U2 F U2 B',
U2 F' U F R2 F R2 F',
U2 F' U F2 D R2 D' F',
U2 F' U R' U R U F,
U2 F' U R' U R U' F,
U2 F' U R' U' R U F,
U2 F' U R' U2 R U2 F,
U2 F' U' B U B' U F,
U2 F' U' B U' F U' B',
U2 F' U' B U' F U2 B',
U2 F' U' B' F R2 B R2,
U2 F' U' B2 U' F U B2,
U2 F' U' F2 D R D' F',
U2 F' U' F2 R' F' U R,
U2 F' U' F2 R' F' U' R,
U2 F' U' F2 R' F' U2 R,
U2 F' U' R' U R U2 F,
U2 F' U' R' U' R U F,
U2 F' U2 B U B' U' F,
U2 F' U2 B U' B' U F,
U2 F' U2 B U2 B' U F,
U2 F' U2 B' F R B R',
U2 F' U2 B' R B R' F,
U2 F' U2 F R B' R' B,
U2 F' U2 F U B U B',
U2 F' U2 F U B U' B',
U2 F' U2 F U B U2 B',
U2 F' U2 F U R' U R,
U2 F' U2 F U R' U' R,
U2 F' U2 F U R' U2 R,
U2 F' U2 F U' B U B',
U2 F' U2 F U' B U' B',
U2 F' U2 F U' B U2 B',
U2 F' U2 F U' R' U R,
U2 F' U2 F U' R' U' R,
U2 F' U2 F U' R' U2 R,
U2 F' U2 F U2 B U B',
U2 F' U2 F U2 B U' B',
U2 F' U2 F U2 B U2 B',
U2 F' U2 F U2 R' U R,
U2 F' U2 F U2 R' U' R,
U2 F' U2 F U2 R' U2 R,
U2 F' U2 R B' R' B F,
U2 F2 D2 F U2 F' D2 F2,
U2 F2 D2 L' B' L D2 F2,
U2 F2 D2 L2 B L2 D2 F2,
U2 F2 L D2 R' D2 F2 L',
U2 F2 L' B2 L' B2 L2 F2,
U2 F2 L2 D' B D L2 F2,
U2 F2 L2 D2 B D2 L2 F2,
U2 F2 R' F U2 F' R F2,
U2 F2 R2 U' F U R2 F2,
U2 F2 R2 U2 F' U2 R2 F2,
U2 F2 U B U' F2 U' B',
U2 F2 U B U' F2 U2 B',
U2 F2 U2 B U2 B' U2 F2,
U2 L B' D2 F2 D2 B L',
U2 L F D R' D' F' L',
U2 L F' R2 F2 R2 F L',
U2 L F2 R F2 L' U2 R2,
U2 L F2 R' F2 L' U R,
U2 L F2 R' F2 L' U' R,
U2 L F2 R' F2 L' U2 R,
U2 L R F R' F' L' R',
U2 L R F2 R F2 L' R',
U2 L R U' R2 U L' R,
U2 L' B' D' R2 D B L,
U2 L' B' R B L U2 R',
U2 L' B2 R B2 L U' R',
U2 L' D B2 D' L U R2,
U2 L' R' B' R B L R,
U2 L' R' B2 R B2 L R,
U2 R B' D' R2 D R B,
U2 R B' F R2 B F' R',
U2 R B' F R2 F' R' B,
U2 R B' R B R U R,
U2 R B' R B R U' R,
U2 R B' R B R U2 R,
U2 R B' R' B F' U' F,
U2 R B' R' B R U R',
U2 R B' R' D' R' D B,
U2 R B' R2 F R B F',
U2 R D B2 U2 B2 D' R',
U2 R D' F2 U2 F2 D R',
U2 R F U R2 U' F' R',
U2 R U B U2 B2 R' B,
U2 R U F R F' U R',
U2 R U F R' F' U' R',
U2 R U R U R2 U' R2,
U2 R U R' B' R2 B R2,
U2 R U R' F R2 F' R2,
U2 R U R2 U F R F',
U2 R U R2 U R2 U R',
U2 R U R2 U' F R F',
U2 R U R2 U' R2 U R',
U2 R U R2 U' R2 U2 R',
U2 R U R2 U2 F R F',
U2 R U R2 U2 R2 U R',
U2 R U R2 U2 R2 U' R',
U2 R U' B U' B2 R' B,
U2 R U' B' U' R' U B,
U2 R U' F R F' U R',
U2 R U' R2 U R2 U2 R',
U2 R U' R2 U2 R2 U R',
U2 R U2 B' R' B2 U B',
U2 R U2 B' R' B2 U' B',
U2 R U2 B' R' B2 U2 B',
U2 R U2 F R F' U' R',
U2 R U2 F R2 F' U R',
U2 R U2 L' B' R' B L,
U2 R U2 L' B2 R' B2 L,
U2 R U2 R F R F' R,
U2 R U2 R U' R U R2,
U2 R U2 R U' R' U R2,
U2 R U2 R U' R2 U R2,
U2 R U2 R U2 R U2 R2,
U2 R U2 R U2 R' U2 R2,
U2 R U2 R U2 R2 U2 R2,
U2 R U2 R' B' R B R',
U2 R U2 R' U B U B',
U2 R U2 R' U B U' B',
U2 R U2 R' U B U2 B',
U2 R U2 R' U R' U R,
U2 R U2 R' U R' U' R,
U2 R U2 R' U R' U2 R,
U2 R U2 R' U' B U B',
U2 R U2 R' U' B U' B',
U2 R U2 R' U' B U2 B',
U2 R U2 R' U' R' U R,
U2 R U2 R' U' R' U' R,
U2 R U2 R' U' R' U2 R,
U2 R U2 R' U2 B U B',
U2 R U2 R' U2 B U' B',
U2 R U2 R' U2 B U2 B',
U2 R U2 R' U2 R' U R,
U2 R U2 R' U2 R' U' R,
U2 R U2 R' U2 R' U2 R,
U2 R U2 R2 B' R B R,
U2 R U2 R2 B' R' B R,
U2 R U2 R2 B' R2 B R,
U2 R U2 R2 F R' F' R2,
U2 R U2 R2 F' U F R,
U2 R U2 R2 F' U' F R,
U2 R U2 R2 F' U2 F R,
U2 R' B F' U2 B' F R',
U2 R' B' F R B F' R,
U2 R' B' R' B R2 U2 R',
U2 R' B' R2 B F R F',
U2 R' B' R2 B R2 U R',
U2 R' B' U' R U B R,
U2 R' D' F' U2 F D R,
U2 R' D' F2 U' F2 D R,
U2 R' F R' B' F' R2 B,
U2 R' F R' F' R' U2 R',
U2 R' F' U F R2 U R',
U2 R' F' U2 F R2 U R',
U2 R' U F' U F2 R F',
U2 R' U R U' R U2 R',
U2 R' U R U2 R U' R',
U2 R' U R' U R U' R2,
U2 R' U' F R F2 U F,
U2 R' U' F R F2 U' F,
U2 R' U' R U F' U2 F,
U2 R' U' R U R U2 R',
U2 R' U' R U' F' U' F,
U2 R' U' R U' R U R',
U2 R' U' R U2 F' U F,
U2 R' U' R U2 R U R',
U2 R' U' R' U' R U R2,
U2 R' U' R2 B U' B' R',
U2 R' U' R2 F R' F' R',
U2 R' U' R2 U' B' R' B,
U2 R' U' R2 U' R2 U R,
U2 R' U' R2 U' R2 U' R,
U2 R' U2 B' R2 B U R,
U2 R' U2 B' R2 B U' R,
U2 R' U2 F' U' F2 R F',
U2 R' U2 R U F' U' F,
U2 R' U2 R U R U R',
U2 R' U2 R U' F' U2 F,
U2 R' U2 R U' R U2 R',
U2 R' U2 R U2 R U' R',
U2 R' U2 R' U R U' R2,
U2 R' U2 R' U' R2 U R2,
U2 R' U2 R' U2 R2 U2 R2,
U2 R' U2 R2 B U B' R',
U2 R' U2 R2 F R F' R',
U2 R2 B' D' R' D B R',
U2 R2 B' D' R' D R' B,
U2 R2 B' F R F' R B,
U2 R2 B' R U' R U B,
U2 R2 B' R' B R2 U R,
U2 R2 B' R' B R2 U' R,
U2 R2 B' R' B R2 U2 R,
U2 R2 B' R2 B R' U R,
U2 R2 B' R2 B R' U' R,
U2 R2 B' R2 B R' U2 R,
U2 R2 B' R2 D' R D B,
U2 R2 B' R2 D' R' D B,
U2 R2 B' R2 D' R2 D B,
U2 R2 B' U' R U R2 B,
U2 R2 B' U' R' U R2 B,
U2 R2 B' U' R2 U R2 B,
U2 R2 F R F' R2 U2 R',
U2 R2 F R2 F' R U2 R',
U2 R2 F U R' U' F' R2,
U2 R2 F' R' U2 R F R2,
U2 R2 U B' R2 B U' R2,
U2 R2 U F' U2 F U' R2,
U2 R2 U R B U' B' R2,
U2 R2 U R U' R' U R',
U2 R2 U R U' R' U2 R',
U2 R2 U R' U R' U2 R2,
U2 R2 U R' U R2 U2 R2,
U2 R2 U R' U' R U R,
U2 R2 U R' U' R U' R,
U2 R2 U R' U' R U2 R,
U2 R2 U R' U2 R U R2,
U2 R2 U R' U2 R' U R2,
U2 R2 U R' U2 R2 U R2,
U2 R2 U R2 U' F R2 F',
U2 R2 U' B U B' U R2,
U2 R2 U' D L' B2 L D',
U2 R2 U' F' U' F U2 R2,
U2 R2 U' L' D B2 D' L,
U2 R2 U' R U B' R2 B,
U2 R2 U' R U R' U2 R',
U2 R2 U' R U' R U2 R2,
U2 R2 U' R U2 R' U' R2,
U2 R2 U' R' U B' R2 B,
U2 R2 U' R' U R' U2 R',
U2 R2 U' R' U' R U2 R2,
U2 R2 U' R' U2 R' U' R2,
U2 R2 U' R2 U B' R2 B,
U2 R2 U' R2 U R' U2 R',
U2 R2 U' R2 U' R U2 R2,
U2 R2 U' R2 U2 R' U' R2,
U2 R2 U2 F' U F U R2,
U2 R2 U2 R U2 R U R,
U2 R2 U2 R U2 R U' R,
U2 R2 U2 R U2 R U2 R,
U2 R2 U2 R U2 R' U' R',
U2 R2 U2 R' U R2 U R2,
U2 R2 U2 R' U2 F R2 F',
U2 R2 U2 R2 U R' U R2,
U2 R2 U2 R2 U2 R' U R',
