alg,notes
F R' F2 U2 F U2 R,RFU
F R2 D R' D' R' F',
F R2 D' F D F2 R2,
F R2 F' R' B' R' B,RFL
F R2 F' R2 B U B',
F R2 F' R2 B U' B',
F R2 F' U' R U R2,RFU
F R2 F' U' R' U R2,
F R2 F' U' R2 U R2,
F R2 F' U2 R U2 R2,RFU
F R2 F' U2 R' U2 R2,RFU
F R2 F' U2 R2 U2 R2,RFU
F R2 F2 U' F U R2,
F R2 F2 U2 F U2 R2,RFU
F U D R U' D' F',
F U R' U' F' U' R,RFU
F U R' U' F' U2 R,
F U R' U' R' F' R2,
F U R2 U' F' U R2,RFU
F U2 L2 D2 B D2 L2,
F' D2 B U' B' D2 F,
F' D2 L' U2 L D2 F,
F' D2 R' U R D2 F,
F' L' R' U L R F,
F' L2 D2 R2 B' D2 L2,
F' R B' R' B U' F,
F' R B' R' B U2 F,
F' R' F' U F R F,
F' R' F2 R' F2 R2 F,RF
F' R2 D' F D R2 F,
F' R2 D' F2 D R2 F,
F' U B U B' U F,
F' U B U B' U2 F,
F' U B U' B' U2 F,RUL
F' U B U2 B' U2 F,
F' U B' F R2 B R2,
F' U B' R B R' F,
F' U F R2 B' R2 B,
F' U F2 D R D' F',
F' U F2 R' F' U R,
F' U F2 R' F' U' R,
F' U F2 R' F' U2 R,
F' U R B' R' B F,
F' U R' U' R U' F,
F' U R' U' R U2 F,
F' U R' U2 R U F,RFU
F' U R' U2 R U' F,RFU
F' U' B U B' U' F,RUL
F' U' B U F U B',
F' U' B U F U' B',
F' U' B U F U2 B',
F' U' B U' B' U' F,
F' U' B U2 B' U F,
F' U' B U2 B' U' F,
F' U' B U2 F U B',
F' U' B U2 F U' B',RUL
F' U' B U2 F U2 B',
F' U' B' F R B R',
F' U' F R B' R' B,
F' U' F R2 F R2 F',
F' U' F U B U B',RUL
F' U' F U B U' B',
F' U' F U B U2 B',
F' U' F U R' U R,
F' U' F U R' U' R,RFU
F' U' F U R' U2 R,
F' U' F U' B U B',
F' U' F U' B U' B',
F' U' F U' B U2 B',RUL
F' U' F U' R' U R,
F' U' F U' R' U' R,
F' U' F U' R' U2 R,RFU
F' U' F U2 B U B',
F' U' F U2 B U' B',RUL
F' U' F U2 B U2 B',
F' U' F U2 R' U R,
F' U' F U2 R' U' R,
F' U' F U2 R' U2 R,RFU
F' U' R' U R U F,RFU
F' U' R' U' R U2 F,
F' U' R' U2 R U' F,
F' U2 B U' B' U' F,
F' U2 B U2 F U B',
F' U2 B U2 F U' B',
F' U2 B U2 F U2 B',
F' U2 F R2 F R2 F',
F' U2 F2 D R2 D' F',
F' U2 R' U R U' F,RFU
F' U2 R' U' R U2 F,
F' U2 R' U2 R U' F,RFU
F' U2 R' U2 R U2 F,RFU
F2 D' F' D F' U' R2,
F2 D2 L' B2 L D2 F2,
F2 D2 L2 B' L2 D2 F2,
F2 L2 B2 L B2 L F2,RFL
F2 L2 D' B2 D L2 F2,
F2 L2 D2 B' D2 L2 F2,
F2 L2 D2 B2 D2 L2 F2,
F2 R' F U F' R F2,
F2 R' F U' F' R F2,RFU
F2 R2 U' F2 U R2 F2,RFU
F2 R2 U2 F U2 R2 F2,RFU
F2 R2 U2 F2 U2 R2 F2,RFU
F2 U B2 U' F2 U B2,
F2 U R' U R U2 F2,
F2 U2 B U' B' U2 F2,
F2 U2 F2 U D R2 D',
F2 U2 R' U' R U' F2,
F2 U2 R2 F R2 U2 F2,RFU
F2 U2 R2 F' R2 U2 F2,
L B' D2 F D2 B L',
L B' D2 F' D2 B L',
L D' F2 D L' U' R2,
L D2 R2 D2 L2 U2 L,
L F D R D' F' L',
L F R' F' L' U R,
L F R' F' L' U' R,
L F R' F' L' U2 R,
L F' R2 F R2 F L',
L F' R2 F' R2 F L',
L R F R2 F' L' R',
L R F2 R' F2 L' R',
L R F2 R2 F2 L' R',
L R' U' R2 U L' R',
L U2 L2 D2 R2 D2 L,
L' B R2 B R2 B' L,
L' B' D' R D B L,
L' B' D' R' D B L,
L' B' R B L U' R',
L' B2 D2 R' D2 L B2,
L' B2 R B2 L U2 R',
L' B2 R' B2 L U2 R2,
L' D2 R2 D2 L2 U2 L',
L' F D2 B D2 F' L,
L' R U R2 U' L R,
L' R' B' R' B L R,
L' R' B' R2 B L R,
L' R' B2 R' B2 L R,
L' R' B2 R2 B2 L R,
L' U2 L2 D2 R2 D2 L',
L2 D2 B R2 D2 L2 F,
L2 D2 B' D2 L2 U2 F',
L2 D2 F D2 L2 U2 B,
L2 D2 F' R2 D2 L2 B',
R B F' U2 B' F R,
R B U2 B' R2 U R,
R B U2 B' R2 U' R,
R B U2 B' R2 U2 R,
R B' F R B F' R',
R B' F R F' R' B,
R B' R B F R2 F',
R B' R F R2 B F',
R B' R' B F' U2 F,
R B' R' B R U2 R',
R B' R' D' R2 D B,
R D B U2 B' D' R',
R D' F2 U' F2 D R',
R D2 L2 U L2 D2 R',
R F R2 B' F' R' B,
R F R2 F' R2 U R,
R F R2 F' R2 U' R,
R F R2 F' R2 U2 R,
R F U R' U' F' R',
R F' U2 B' F R B,
R U B' R' B2 U B',
R U B' R' B2 U' B',
R U B' R' B2 U2 B',
R U F R F' U' R',
R U F R2 F' U R',
R U L' B' R' B L,
R U L' B2 R' B2 L,
R U R F R F' R,
R U R U' R U R2,
R U R U' R' U R2,
R U R U' R2 U R2,
R U R U2 R U2 R2,
R U R U2 R' U2 R2,
R U R U2 R2 U2 R2,
R U R' B' R B R',
R U R' U B U B',
R U R' U B U' B',
R U R' U B U2 B',
R U R' U R' U R,
R U R' U R' U' R,
R U R' U R' U2 R,
R U R' U' B U B',
R U R' U' B U' B',
R U R' U' B U2 B',
R U R' U' R' U R,
R U R' U' R' U' R,
R U R' U' R' U2 R,
R U R' U2 B U B',
R U R' U2 B U' B',
R U R' U2 B U2 B',
R U R' U2 R' U R,
R U R' U2 R' U' R,
R U R' U2 R' U2 R,
R U R2 B' R B R,
R U R2 B' R' B R,
R U R2 B' R2 B R,
R U R2 F R' F' R2,
R U R2 F' U F R,
R U R2 F' U' F R,
R U R2 F' U2 F R,
R U' F R F' U2 R',
R U' F R' F' U' R',
R U' F R' F' U2 R',
R U' F R2 F' U2 R',
R U' R U R' U' R2,
R U' R U R2 U' R2,
R U' R' B' R2 B R2,
R U' R2 U F R F',
R U' R2 U' F R F',
R U' R2 U' R2 U R',
R U' R2 U' R2 U' R',
R U' R2 U' R2 U2 R',
R U' R2 U2 F R F',
R U' R2 U2 R2 U' R',
R U2 B U' B2 R' B,
R U2 B' U' R' U B,
R U2 F R F' U R',
R U2 R U R' U' R2,
R U2 R2 U R2 U2 R',
R' B U2 B' F R' F',
R' B' F R B R F',
R' B' F R' B F' R,
R' B' F R' B R F',
R' B' F R2 B F' R,
R' B' F R2 B R F',
R' B' R B F R F',
R' B' R B R2 U R',
R' B' R2 B R2 U2 R',
R' B' U' R' U B R,
R' D B2 U B2 D' R,
R' D' F' U F D R,
R' D' F2 U F2 D R,
R' D2 L2 U L2 D2 R,
R' F D R2 D' R' F',
R' F R B F' U B',
R' F R B F' U' B',
R' F R B F' U2 B',
R' F R D R D' F',
R' F R F' R' U R,
R' F R F' R' U' R,
R' F R F' R' U2 R,
R' F R' B' R2 B F',
R' F R' F' R' U' R',
R' F R2 B' R' B F',
R' F U R2 U' R' F',
R' F' U2 F R2 U2 R',
R' F2 R D R' D' F2,
R' U B' R' B U R,
R' U B' R' B U' R,
R' U B' R' B U2 R,
R' U F R F2 U' F,
R' U F U R U' F',
R' U F' U' F2 R F',
R' U L F R F' L',
R' U L F2 R F2 L',
R' U R B' R2 B R2,
R' U R F R' F' R,
R' U R F R2 F' R2,
R' U R U F' U' F,
R' U R U R U' R',
R' U R U' F' U F,
R' U R U2 F' U2 F,
R' U R U2 R U2 R',
R' U R' U R2 U' R2,
R' U R' U' R U R2,
R' U R' U' R' U R2,
R' U R' U2 R' U2 R2,
R' U R2 B U2 B' R',
R' U R2 F R F' R',
R' U R2 F R2 F' R',
R' U R2 U B' R' B,
R' U R2 U R2 U R,
R' U R2 U R2 U' R,
R' U R2 U R2 U2 R,
R' U' B' R B U R,
R' U' B' R B U' R,
R' U' B' R B U2 R,
R' U' B' R' B U R,
R' U' B' R' B U' R,
R' U' B' R' B U2 R,
R' U' F R F2 U2 F,
R' U' F' U2 F2 R F',
R' U' L F R F' L',
R' U' L F2 R F2 L',
R' U' R B' R2 B R2,
R' U' R F R' F' R,
R' U' R F R2 F' R2,
R' U' R U F' U F,
R' U' R U R U' R',
R' U' R U' F' U F,
R' U' R U2 F' U2 F,
R' U' R U2 R U2 R',
R' U' R' B' R' B R',
R' U' R' U R' U' R2,
R' U' R' U R2 U' R2,
R' U' R' U' R' U R2,
R' U' R' U2 R' U2 R2,
R' U' R2 B U2 B' R',
R' U' R2 B' R B R2,
R' U' R2 F R2 F' R',
R' U' R2 U B' R' B,
R' U' R2 U R2 U R,
R' U' R2 U R2 U' R,
R' U' R2 U R2 U2 R,
R' U2 B' R B U R,
R' U2 B' R B U' R,
R' U2 B' R' B U R,
R' U2 B' R' B U' R,
R' U2 F R F2 U' F,
R' U2 F U R U' F',
R' U2 L F R F' L',
R' U2 L F2 R F2 L',
R' U2 R B' R2 B R2,
R' U2 R F R' F' R,
R' U2 R F R2 F' R2,
R' U2 R U F' U2 F,
R' U2 R U R U' R',
R' U2 R U' F' U F,
R' U2 R U' F' U' F,
R' U2 R U' R U R',
R' U2 R U2 F' U F,
R' U2 R U2 F' U2 F,
R' U2 R U2 R U2 R',
R' U2 R' U R2 U' R2,
R' U2 R' U' R' U R2,
R' U2 R' U2 R U2 R2,
R' U2 R' U2 R' U2 R2,
R' U2 R2 B U2 B' R',
R' U2 R2 F R' F' R',
R' U2 R2 F R2 F' R',
R' U2 R2 U B' R' B,
R' U2 R2 U R2 U' R,
R' U2 R2 U R2 U2 R,
R2 B R U' R' B' R2,
R2 B U B' R2 U' R2,
R2 B U2 B' R U2 R2,
R2 B U2 B' R' U2 R2,
R2 B U2 B' R2 U2 R2,
R2 B' D' R D R B,
R2 B' R F R B F',
R2 B' R2 B R U R',
R2 B' U' R U B R2,
R2 F D R D' F' R,
R2 F D R D' R F',
R2 F R2 D R' D' F',
R2 F R2 F' R U' R',
R2 F U R2 U' F' R2,
R2 F' R' U R F R2,
R2 F' R' U' R F R2,
R2 F' U' F R U R2,
R2 F' U' F R' U R2,
R2 F2 D' F' D R2 F',
R2 U B U B' U2 R2,
R2 U D B2 U2 B2 D',
R2 U R U' B' R2 B,
R2 U R U' F R2 F',
R2 U R' U' B' R2 B,
R2 U R' U' R' U2 R',
R2 U R2 U R U2 R2,
R2 U R2 U R' U2 R2,
R2 U R2 U' R U R,
R2 U R2 U' R U' R,
R2 U R2 U' R U2 R,
R2 U R2 U' R' U R',
R2 U R2 U2 R U R2,
R2 U R2 U2 R' U R2,
R2 U R2 U2 R2 U R2,
R2 U' B U' B' U R2,
R2 U' B' D B' D' B2,
R2 U' D' F2 U2 F2 D,
R2 U' F R' F' U R2,
R2 U' F' U F2 R2 F',
R2 U' R U F R2 F',
R2 U' R U' R2 U2 R2,
R2 U' R U2 R U' R2,
R2 U' R U2 R2 U' R2,
R2 U' R' F' U F R2,
R2 U' R' U R U R,
R2 U' R' U R U' R,
R2 U' R' U R U2 R,
R2 U' R' U R' U' R',
R2 U' R' U' R' U2 R2,
R2 U' R2 F' U F R2,
R2 U' R2 U F R2 F',
R2 U' R2 U R U R,
R2 U' R2 U R U' R,
R2 U' R2 U R U2 R,
R2 U' R2 U R' U' R',
R2 U2 B U2 B2 R2 B,
R2 U2 F' U2 F2 R2 F',
R2 U2 L' B2 R B2 L,
R2 U2 R U R2 U R2,
R2 U2 R U' R U' R2,
R2 U2 R U2 F R2 F',
R2 U2 R' U R' U R2,
R2 U2 R' U2 R U R,
R2 U2 R' U2 R U' R,
R2 U2 R' U2 R U2 R,
R2 U2 R' U2 R' U' R',
R2 U2 R2 B U2 B' R2,
R2 U2 R2 F' U2 F R2,
R2 U2 R2 U' R' U' R2,
R2 U2 R2 U2 B' R2 B,
R2 U2 R2 U2 R U R,
R2 U2 R2 U2 R U' R,
R2 U2 R2 U2 R U2 R,
R2 U2 R2 U2 R' U2 R',
U B D2 F' U' F D2 B',
U B D2 R U' R' D2 B',
U B F' L' U' L B' F,
U B R B U' B' R' B',
U B U B' R2 F R2 F',
U B U B' U F' U' F,
U B U B' U R U R',
U B U B' U' F' U2 F,
U B U B' U' R U2 R',
U B U B' U2 R U' R',
U B U B2 R B U2 R',
U B U F' U B' U F,
U B U F' U' B' U' F,
U B U F' U2 F U B',
U B U F' U2 F U' B',
U B U F' U2 F U2 B',
U B U R U2 R' U B',
U B U R U2 R' U' B',
U B U R U2 R' U2 B',
U B U' B' F R' F' R,
U B U' B' F R2 F' R2,
U B U' B' R' F R F',
U B U' B' U F' U' F,
U B U' B' U R U' R',
U B U' B' U' F' U F,
U B U' B' U2 F' U2 F,
U B U' B' U2 R U2 R',
U B U' B2 D' R' D B,
U B U' B2 R B U2 R',
U B U' F R' F' R B',
U B U' F' U' F U B',
U B U' F' U' F U' B',
U B U' F' U' F U2 B',
U B U' R U R' U B',
U B U' R U R' U' B',
U B U' R U R' U2 B',
U B U' R' F R B' F',
U B U2 B2 D' R D B,
U B U2 F' U F U B',
U B U2 F' U F U' B',
U B U2 F' U' B' U F,
U B U2 F' U2 B' U' F,
U B' F R2 B R F' R,
U B' R B F R' F' R',
U B' R B U' R2 U R,
U B' R B U' R2 U' R,
U B' R B U' R2 U2 R,
U B' R B2 U B' U R',
U B' R B2 U' B2 R' B,
U B' R F R' B F' R',
U B' R' B2 U B2 R B,
U B' R2 B R2 F' U' F,
U B' R2 B2 U B' U' R2,
U B' R2 U' R2 U B R2,
U B' U' D' R' U D B,
U B' U' R' U R' B R2,
U B2 D2 B' U B D2 B2,
U B2 L2 D F' D' L2 B2,
U B2 R B' U' B R' B2,
U B2 R2 U B' U' R2 B2,
U B2 U2 F' U F U2 B2,
U B2 U2 R U R' U B2,
U D B L' B L B2 D',
U D B2 L' B' L B' D',
U D R' F R' F' R2 D',
U D R2 F R F' R D',
U D R2 U' R U R2 D',
U D' B R U' R' B' D,
U D' F D R' D' F' D,
U D' F' L' U' L F D,
U D' L F2 L' U' D R2,
U D' R B U' B' R' D,
U F D R D' F2 U F,
U F D R' D' F2 U' F,
U F D R2 D' F2 U' F,
U F D R2 D' R' F' R,
U F D R2 D' R2 F' R2,
U F L2 D R' D' L2 F',
U F R D R2 D' R F',
U F R F' R2 F R' F',
U F R F2 U F2 R' F',
U F R F2 U' F2 R' F',
U F R U R2 U' F' R,
U F R' D R' D' F' R2,
U F R' F' R' F R2 F',
U F R' F' U R2 U' R',
U F R' F' U2 R2 U2 R',
U F R' F2 U' F2 R F',
U F R2 F' R F R F',
U F R2 F' R2 F' U' F,
U F R2 F' U R2 U' R2,
U F R2 U R2 U' F' R2,
U F U R U' R F' R2,
U F' D2 B U B' D2 F,
U F' D2 L' U' L D2 F,
U F' D2 R' U' R D2 F,
U F' L' B U' B' L F,
U F' L' R' U' L R F,
U F' U F2 D R' D' F',
U F' U' B U' B' U F,
U F' U' F2 D R' D' F',
U F' U' R' U R U' F,
U F' U' R' U2 R U2 F,
U F' U2 B U F U B',
U F' U2 B U F U' B',
U F' U2 B U F U2 B',
U F' U2 B U2 B' U' F,
U F' U2 F2 D R' D' F',
U F' U2 R' U R U F,
U F' U2 R' U2 R U F,
U F2 D2 F U' F' D2 F2,
U L' B R2 B2 R2 B' L,
U L' B' R B L U R',
U L' F D2 B2 D2 F' L,
U R B U' B' R2 U R,
U R B U' B' R2 U' R,
U R B U' B' R2 U2 R,
U R B' F R' B F' R',
U R B' F R' F' R' B,
U R B' R' B R U' R',
U R B' U' R2 U R B,
U R D B U' B' D' R',
U R D B2 U' B2 D' R',
U R D2 L2 U' L2 D2 R',
U R F R' B' F' R' B,
U R F R' F' R2 U R,
U R F R' F' R2 U' R,
U R F R' F' R2 U2 R,
U R U F R F' U2 R',
U R U F R' F' U2 R',
U R U F R2 F' U2 R',
U R U R U R' U' R2,
U R U R2 U' R2 U' R',
U R U' B' R' B2 U B',
U R U' B' R' B2 U' B',
U R U' B' R' B2 U2 B',
U R U' F R F' U' R',
U R U' F R2 F' U R',
U R U' L' B' R' B L,
U R U' L' B2 R' B2 L,
U R U' R F R F' R,
