alg,notes
R U R U2 F R' F' U2 R2,
R U R' F R U R' U' F',
R U R' F R' F' R2 U R',
R U R' F U R U' R' F',
R U R' F' U F R U R',
R U R' F' U F2 R' F' R,
R U R' F' U2 F R U2 R',
R U R2 F R F' R U R',
R U R2 U' R U' R' U2 R,
R U R2 U2 B' R2 B U2 R,
R U R2 U2 R U R' U R,
R U' F' U2 F U2 F R' F',
R U' R D R' U2 R D' R2,
R U' R U R' U R U2 R2,
R U' R U2 F R F' U2 R2,
R U' R U2 F R2 F' U2 R2,
R U' R U2 R' U' R U' R2,
R U' R U2 R2 U' R2 U' R2,Brunette
R U' R' F R' F' R2 U2 R',
R U' R' F' U F R U2 R',
R U' R' F' U' F R U R',
R U' R' F' U' F2 R' F' R,
R U' R' F2 L' U' L U F2,
R U' R2 F R F' R U2 R',
R U' R2 F R2 U R' U' F',
R U' R2 U' F U R U' F',
R U' R2 U' R2 U' R2 U2 R,
R U2 F R U R' U' F' R',
R U2 F U R U' R' F' R',
R U2 F' U2 F U2 F R' F',
R U2 L R' U' R U L' R',
R U2 L' R B' R' B L R',
R U2 L' R D B' D' L R2,
R U2 R B2 L' B' L B' R2,
R U2 R D R' U' R D' R2,
R U2 R U R' U R U2 R2,Rapunzel
R U2 R U2 F R F' U2 R2,
R U2 R U2 F R' F' U2 R2,
R U2 R' F' U F R U' R',
R U2 R' F' U' F R U R',
R U2 R' F' U' F R U' R',
R U2 R' F' U2 F R U' R',
R' D' L F L' D R2 U R',
R' F R F2 U F R U R',
R' F R F2 U F2 R' F' R,
R' F R F2 U2 F R U2 R',
R' F R U F' U F U2 F',
R' F R U2 F' U' F U' F',
R' F R2 B R' F' R B' R',
R' F R2 B' R' F' R B R',
R' F R2 F' L F R' F' L',
R' F R2 F' U' F' U F R',
R' F' R U R U' R' U2 F,
R' F' U' F U R F' U F,
R' F2 L F' R F2 L' U' F,
R' F2 R U' F U R' F2 R,
R' U R U F' R' U2 R F,
R' U R2 U' R' F R2 F' R2,
R' U' F R F' U' R' U2 R,
R' U' F R F2 R' U R F,
R' U' F U F R F' U' F',
R' U' F' U F R F' U F,
R' U' F' U F2 R F2 U' F,
R' U' F2 U F' R F U' F2,
R' U' R F R' F2 U F R,
R' U' R F R2 F' R U R,
R' U' R F' R' U R U2 F,
R' U' R F' U' R' U2 R F,
R' U' R U' R' U2 R2 U2 R',
R' U' R' U' R' U R U R,Fast-Edge
R' U' R2 F R2 F' R2 U R,
R' U' R2 U' R2 U2 F R F',
R' U2 L F R' F R2 F2 L',
R' U2 R U R U' R2 U2 R,
R' U2 R U R' U R2 U2 R',
R' U2 R' U R2 U' R U2 R,
R' U2 R2 U R' U' R' U2 R,
R' U2 R2 U R2 F' U F R,
R2 B L' B L B2 R' U2 R',
R2 B' R' B R' U F' U' F,
R2 D L' B L D' R' U R',
R2 F' U F2 R' F2 U' F R2,
R2 F' U F2 R2 F2 U' F R2,
R2 F2 R' U R' U' R2 F2 R2,
R2 F2 R2 F' U' F R2 F2 R2,
R2 F2 R2 U R U' R F2 R2,
R2 F2 R2 U2 R U2 R F2 R2,
R2 F2 U R2 U R2 U2 F2 R2,
R2 F2 U2 F R2 F' U2 F2 R2,
R2 U B U' B' R2 F' U' F,
R2 U R U R U' R' U' R2,
R2 U R' F' U F R U' R2,
R2 U R' U R U2 R' U' R',Suneish
R2 U R' U' R' F R F' R',
R2 U R2 F' U' F R2 U' R2,
R2 U R2 U R U' R U' R2,
R2 U' R F R' U R2 U' F',
R2 U2 F R F' U2 R' U2 R',
R2 U2 F R' F' U2 R' U' R',
R2 U2 F R' F' U2 R' U2 R',
R2 U2 F R2 F' U2 R' U R',
R2 U2 R U' R U R' U2 R2,
R2 U2 R' F R' F' R2 U2 R2,
R2 U2 R' F2 L F L' F R',
R2 U2 R' U' R U' R' U' R',
R2 U2 R' U' R U' R' U2 R',
R2 U2 R2 F R F' R U2 R2,
U B F' F' D' L' D F2 B',
U B F2 L F L' B' U' F,
U B' D' R U' R' U D B,
U B' R' F R B F2 U2 F,
U F D R U R' U' D' F',
U F U D R U' R' D' F',
U F L2 F' R' F L2 R F',
U F R U R' U' F2 U' F,
U F R U R' U' R' F' R,
U F R U R2 U' F' U R,
U F R' F' R U F' U' F,
U F R' F' R U R U R',
U F R' F' R U' F' U2 F,
U F R' F' R U' R U2 R',
U F R' F' R U2 R U' R',
U F U R U' R' F2 U' F,
U F' L' B L' B' L2 U F,
U F' L' U L F R U R',
U F' L' U2 B' U B L F,
U F' R' U L' U' L R F,
U F' R' U' F U F' R F,
U F' R' U' R F R' U R,
U F' U F U' F R' F' R,
U F' U F U' R' F R F',
U F' U' F U' F R' F' R,
U F' U' F U' R' F R F',
U F' U' L F' L' F U' F,
U F' U2 F U' F R' F' R,
U F' U2 F U' R' F R F',
U F2 L F L2 U L U F,
U L F R' F' L' R2 U' R',
U L F R' F' L' R2 U' R',
U R B' R' U' R U B R',
U R F R U R' U' F' R',
U R F U R U' R' F' R',
U R F' U' F U F R' F',
U R U B U' B2 R B R2,
U R U R' U2 F R' F' R,
U R U R' U2 R' F R F',
U R U R2 F R F2 U2 F,
U R U' R2 F R F2 U' F,
U R U' R2 F' U' F U R,
U R U' R2 U' F' U F R,
U R U2 R' F' L' U2 L F,
U R' F R F' U F' U' F,
U R' F R F' U R U R',
U R' F R F' U' F' U2 F,
U R' F R F' U' R U2 R',
U R' F R F' U2 R U' R',
U R' F' U' F U R2 U2 R',
U R' U' F' U F R2 U2 R',
U R2 B L U' L' U B' R2,
U R2 B' R' B2 U B' U2 R',
U L' R2 B' R' B L U' R',
U R2 U B U' B2 R' B R',
U R2 U R B' R' B U' R2,
U' B' R' F R B F2 U F,
U' B' R' F R B F2 U F,
U' F R U R' U' F2 U2 F,
U' F R' F' R U F' U2 F,
U' F R' F' R U R U2 R',
U' F R' F' R U' F' U' F,
U' F R' F' R U' R U R',
U' F R' F' R U2 F' U F,
U' F U R U' R' F2 U2 F,
U' F' L F U F' U' L' F,
U' F' R U R' U' R' F R,
U' F' R' F' U' F U R F,
U' F' R' U' F' U F R F,
U' F' U F2 R U R' U' F',
U' F' U F2 R' F' R2 U R',
U' F' U F2 U R U' R' F',
U' F' U' F U2 F R' F' R,
U' F' U' F U2 R' F R F',
U' F' U' F2 R' F' R2 U2 R',
U' F' U' L' U L2 F' L' F2,
U' F' U2 F R B U2 B' R',
U' B F2 L F L' B' U F,
U' F2 L F L2 U' L U2 F,
U' F2 L' B' U B U' L F2,
U' F2 U' F' L F L' U F2,
U' F2 U' L' U L2 F L' F,
U' L D F' U F U' D' L',
U' L F R' F' L' R2 U2 R',
U' L' R R D B D' R2 L,
U' L' R2 B' R' B L U R',
U' R B L' B L B2 U' R',
U' R B U' B' R' F' U' F,
U' R B U2 L U' L' B' R',
U' R F U F' R' F U' F',
U' R F U R' U' R F' R',
U' R F U' B U B' F' R',
U' R U B' R B R' U R',
U' R U R' U F R' F' R,
U' R U R' U R' F R F',
U' R U' R' U F R' F' R,
U' R U' R' U R' F R F',
U' R U2 R' U F R' F' R,
U' R U2 R' U R' F R F',
U' R' B2 R F R' B2 F' R,
U' R' D' F' U' F U D R,
U' R' U' D' F' U F D R,
U' R' F R F' U F' U2 F,
U' R' F R F' U R U2 R',
U' R' F R F' U' F' U' F,
U' R' F R F' U' R U R',
U' R' F R F' U2 F' U F,
U' R' F' U' F U F R F',
U' R' F' U' F U R2 U R',
U' R' F' U' F2 U R U' F',
U' R' U' F' U F R2 U R',
U' R2 B' R' B2 U' B' U' R',
U2 B F2 L F L' B' U2 F,
U2 F R U R' U' F2 U F,
U2 F R' F' R U F' U F,
U2 F R' F' R U' R U' R',
U2 F R' F' R U2 F' U' F,
U2 F R' F' R U2 R U R',
U2 F R2 B' R' B R2 F' R,
U2 F R2 F' U2 F' U2 F R2,
U2 F U R U' R' F2 U F,
U2 B' F' U F2 U' B U F',
U2 F' L F2 R' F L' F2 R,
U2 F' L' R U' L U R' F,
U2 F' L' U2 L F R U2 R',
U2 F' R U2 R' U2 R' F R,
U2 F' R' F' L F L' R F,
U2 F' U F R B U B' R',
U2 F' U F U F R' F' R,
U2 F' U F U R' F R F',
U2 F' U F' L' U' L U F2,
U2 F' U F2 R' F' R2 U' R',
U2 F' U' F R B U2 B' R',
U2 F' U2 F2 R U R' U' F',
U2 F' U2 F2 R' F' R2 U R',
U2 F' U2 F2 U R U' R' F',
U2 F' U2 L2 B L B' L F,
U2 F2 L F2 R' F' L' F R,
U2 F2 L' U' L U F U F,
U2 F2 R U2 R' U2 R' F2 R,
U2 L R U' R2 U L' U' R,
U2 L' R2 B' R' B L U2 R',
U2 R B F' U B' U' F R',
U2 R B U2 B' R' F' U2 F,
U2 R B' R2 F R' B R2 F',
U2 R F R B' R' B F' R',
U2 R F' U2 F U2 F R' F',
U2 R U R' F' L' U2 L F,
U2 R U' R B U B' U' R2,
U2 R U' R' F' L' U' L F,
U2 R U' R' U' F R' F' R,
U2 R U' R' U' R' F R F',
U2 R U' R2 F R F2 U F,
U2 R U2 B2 L' B' L B' R',
U2 R U2 R2 F R F2 U' F,
U2 R U2 R2 F' U' F U R,
U2 R U2 R2 U' F' U F R,
U2 R' F R F' U F' U F,
U2 R' F R F' U' R U' R',
U2 R' F R F' U2 F' U' F,
U2 R' F R F' U2 R U R',
U2 R' F' U' F U R2 U' R',
U2 R' F2 L F L' F2 R F',
U2 R' F2 R U2 R U2 R' F2,
U2 R' U' F' U F R2 U' R',
U2 R2 B U B' U' R' U' R',
U2 R2 B' R2 F R B R' F',
U2 R2 F' U2 F U2 F R2 F',
