alg,notes
B' R2 U R U' B R2,RFU
B' R2 U R' B U' R2,RFU
B' R2 U R2 B U' R2,RFU
B' R2 U R2 U' B R2,RFU
B' R2 U2 B R' U2 R2,RFU
B' R2 U2 B2 U2 B' R2,RFU
B' R2 U2 R B U2 R2,RFU
B' R2 U2 R' B U2 R2,RFU
B' R2 U2 R2 B U2 R2,RFU
B' R2 U2 R2 U2 B R2,RFU
B' U B' R B2 U' R',RFU
B' U B2 R U' R' B',RFU
B' U D' R U D B,
B' U D' R U' D B,
B' U D' R' U D B,
B' U D' R' U' D B,
B' U F R2 B F' R2,
B' U F' R B R' F,
B' U L2 D2 F' D2 L2,
B' U R B' R B2 R2,RFU
B' U R B2 U B' R',RFU
B' U R B2 U' B' R',RFU
B' U R U B U R',RFU
B' U R U' B U R',RFU
B' U R U' R B R2,RFU
B' U R U2 B U R',RFU
B' U R U2 B U2 R',RFU
B' U R U2 R B R2,RFU
B' U R2 B R' U R',RFU
B' U R2 B R' U' R',RFU
B' U R2 U B U' R2,RFU
B' U R2 U2 B U2 R2,RFU
B' U' B R2 B' R2 B,RFU
B' U' B2 R2 B2 R2 B',RFU
B' U' D' R U' D B,
B' U' F R2 B F' R2,
B' U' F' R B R' F,
B' U' L2 D2 F' D2 L2,
B' U' R B' R B2 R2,RFU
B' U' R B2 U B' R',RFU
B' U' R B2 U2 B' R',RFU
B' U' R U' B U R',RFU
B' U' R U' B U2 R',RFU
B' U' R U' R B R2,RFU
B' U' R U2 B U R',RFU
B' U' R U2 B U2 R',RFU
B' U' R U2 R B R2,RFU
B' U' R2 B F R2 F',
B' U' R2 B R' U R',RFU
B' U' R2 B R' U2 R',RFU
B' U' R2 U2 B U2 R2,RFU
B' U2 B F R2 F' R2,
B' U2 B R2 B2 R2 B2,RFU
B' U2 B' R B2 U2 R',RFU
B' U2 B' U D' R2 D,
B' U2 B2 R U R' B',RFU
B' U2 B2 R2 B R2 B',RFU
B' U2 R B2 U B' R',RFU
B' U2 R U B U2 R',RFU
B' U2 R U R B R2,RFU
B' U2 R U' B U' R',RFU
B' U2 R U' R B R2,RFU
B' U2 R' U R' B R2,RFU
B' U2 R' U' R' B R2,RFU
B' U2 R' U2 R' B R2,RFU
B' U2 R2 B R U R,RFU
B' U2 R2 B R U' R,RFU
B' U2 R2 B R U2 R,RFU
B' U2 R2 B R' U R',RFU
B' U2 R2 B R' U2 R',RFU
B' U2 R2 B' R' B2 R',RFU
B' U2 R2 U B U' R2,RFU
B' U2 R2 U2 B U2 R2,RFU
B2 D' F' U F R2 D,
B2 D' R D R2 B2 R2,
B2 D' R' D B' U B',
B2 D' R' D B' U' B',
B2 D' R' D B' U2 B',
B2 D' R' D L' B2 L,
B2 D' R2 D B' U B',
B2 D' R2 D B' U' B',
B2 D' R2 D B' U2 B',
B2 D' R2 D L' B2 L,
B2 D' R2 D R B2 R',
B2 D' R2 D R2 B2 R2,
B2 D2 L U2 F2 L' D2,
B2 D2 R' D2 L B2 L',
B2 L B2 L' D2 R D2,
B2 L U L' D' R2 D,
B2 L' B2 D2 R D2 L,
B2 L' B2 D2 R' D2 L,
B2 L' B2 L F' U' F,
B2 L' B2 L R U R',
B2 L' B2 L R U2 R',
B2 L' D' R' D B2 L,
B2 L' D' R' D L B2,
B2 L' D' R2 D B2 L,
B2 L' D' R2 D L B2,
B2 L' D2 R D2 L B2,
B2 L' D2 R' D2 B2 L,
B2 L' D2 R' D2 L B2,
B2 L' D2 R2 D2 B2 L,
B2 L' D2 R2 D2 L B2,
B2 L' R B2 L U2 R',
B2 L2 D2 R' D2 L2 B2,
B2 L2 D2 R2 D2 L2 B2,
B2 L2 U' D F2 L2 D',
B2 R B U B U2 R',RFU
B2 R B U R B R2,RFU
B2 R B U' B U' R',RFU
B2 R B U' R B R2,RFU
B2 R B' U B2 R' B,RFU
B2 R B' U' B' U2 R',RFU
B2 R B' U2 B' U' R',RFU
B2 R B' U2 B' U2 R',RFU
B2 R B2 L U2 L' R',
B2 R B2 R B2 R2 B2,RF
B2 R B2 R F R2 F',RFL
B2 R B2 R' F' U F,
B2 R D' R D B2 R2,
B2 R U D' R2 D R,
B2 R U R' D' R' D,
B2 R U' B' U B2 R',RFU
B2 R U' B' U R' B2,RFU
B2 R U2 B2 U2 B2 R',RFU
B2 R U2 B2 U2 R' B2,RFU
B2 R' B' R' B R B',RF
B2 R' B2 R B2 R B2,RF
B2 R' B2 R' B2 R B2,RF
B2 R' B2 R2 B2 R B2,RF
B2 R' D' R' D B2 R2,
B2 R' F R' B2 R2 F',RFL
B2 R' F R2 B2 R' F',RFL
B2 R' U' B2 U B2 R,RFU
B2 R' U' R2 U B2 R',RFU
B2 R' U2 B2 U2 B2 R,RFU
B2 R' U2 R2 U2 B2 R',RFU
B2 R' U2 R2 U2 R' B2,RFU
B2 R2 B R2 B2 U B',RFU
