pattern,replace
R L,L R
R L2,L2 R
R L',L' R
R2 L,L R2
R2 L2,L2 R2
R2 L',L' R2
R' L,L R'
R' L2,L2 R'
R' L',L' R'
F B,B F
F B2,B2 F
F B',B' F
F2 B,B F2
F2 B2,B2 F2
F2 B',B' F2
F' B,B F'
F' B2,B2 F'
F' B',B' F'
D U,U D
D2 U,U D2
D' U,U D'
D U2,U2 D
D2 U2,U2 D2
D' U2,U2 D'
D U',U' D
D2 U',U' D2
D' U',U' D'
