pattern,replace
B2 F2 L2 R2 B2 F2,L2 R2
D2 U2 L2 R2 D2 U2,L2 R2
B2 F2 D2 U2 B2 F2,D2 U2
L2 R2 D2 U2 L2 R2,D2 U2
L2 R2 B2 F2 L2 R2,B2 F2
D2 U2 B2 F2 D2 U2,B2 F2
L2 R D2 U2 L2 R2 D2,R'
B2 F L2 R2 B2 F2 L2,F' R2
L2 R' B2 F2 L2 R2 B2 F,R F'
