pattern,replace
'2,2
2',2
Ri,R'
Ui,U'
Fi,F'
Li,L'
Di,D'
Bi,B'
R-,R'
U-,U'
F-,F'
L-,L'
D-,D'
B-,B'
R+,R
U+,U
F+,F
L+,L
D+,D
B+,B
MF2,S2
MF',S'
MF,S
MB2,S2
MB',S
MB,S'
MD2,E2
MD',E'
MD,E
MU2,E2
MU',E
MU,E'
ML2,M2
ML',M'
ML,M
MR2,M2
MR',M
MR,M'
TR,r
TU,u
TF,f
TL,l
TD,d
TB,b
CR,x
CU,y
CF,z
Rw,r
Uw,u
Fw,f
Lw,l
Dw,d
Bw,b
[r'],x'
[r2],x2
[r],x
[u'],y'
[u2],y2
[u],y
[f'],z'
[f2],z2
[f],z
